"filename", "language", "JavaScript", "CSS", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\Gintautas\Desktop\Bakis\frontend\README.md", "Markdown", 0, 0, 38, 0, 0, 0, 33, 71
"c:\Users\Gintautas\Desktop\Bakis\frontend\package-lock.json", "JSON", 0, 0, 0, 28140, 0, 0, 1, 28141
"c:\Users\Gintautas\Desktop\Bakis\frontend\package.json", "JSON", 0, 0, 0, 53, 0, 0, 1, 54
"c:\Users\Gintautas\Desktop\Bakis\frontend\public\index.html", "HTML", 0, 0, 0, 0, 20, 23, 1, 44
"c:\Users\Gintautas\Desktop\Bakis\frontend\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 1, 26
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\API.js", "JavaScript", 109, 0, 0, 0, 0, 0, 11, 120
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\AdminPage\AdjustComponent.js", "JavaScript", 46, 0, 0, 0, 0, 1, 3, 50
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\AdminPage\AdminPage.js", "JavaScript", 72, 0, 0, 0, 0, 1, 9, 82
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\AdminPage\ItemComponetn.js", "JavaScript", 30, 0, 0, 0, 0, 0, 1, 31
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\AdminPage\ListComponent.js", "JavaScript", 79, 0, 0, 0, 0, 1, 3, 83
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\AdminPage\RowComponent.js", "JavaScript", 19, 0, 0, 0, 0, 0, 3, 22
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\App.css", "CSS", 0, 297, 0, 0, 0, 11, 51, 359
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\App.js", "JavaScript", 34, 0, 0, 0, 0, 0, 3, 37
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\BLE.js", "JavaScript", 201, 0, 0, 0, 0, 161, 31, 393
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\ConstellationList\AddConstellation.js", "JavaScript", 129, 0, 0, 0, 0, 0, 5, 134
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\ConstellationList\ConstellationList.js", "JavaScript", 69, 0, 0, 0, 0, 2, 3, 74
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\ConstellationList\ConstellationRow.js", "JavaScript", 17, 0, 0, 0, 0, 0, 3, 20
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\ConstellationList\EditConstellation.js", "JavaScript", 134, 0, 0, 0, 0, 0, 8, 142
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\MainPage\MainPage.js", "JavaScript", 61, 0, 0, 0, 0, 44, 35, 140
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\Menu.js", "JavaScript", 61, 0, 0, 0, 0, 23, 3, 87
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\StarList\AddStar.js", "JavaScript", 75, 0, 0, 0, 0, 0, 4, 79
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\StarList\EditStar.js", "JavaScript", 77, 0, 0, 0, 0, 0, 6, 83
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\StarList\StarList.js", "JavaScript", 60, 0, 0, 0, 0, 1, 3, 64
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\StarList\StarRow.js", "JavaScript", 33, 0, 0, 0, 0, 0, 3, 36
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\StarMap.js", "JavaScript", 49, 0, 0, 0, 0, 0, 8, 57
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\index.js", "JavaScript", 14, 0, 0, 0, 0, 0, 1, 15
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\redux\reducers\BLESlice.js", "JavaScript", 35, 0, 0, 0, 0, 0, 3, 38
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\redux\reducers\ConstellationsSlice.js", "JavaScript", 24, 0, 0, 0, 0, 0, 3, 27
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\redux\reducers\ListComponentSlice.js", "JavaScript", 62, 0, 0, 0, 0, 0, 3, 65
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\redux\reducers\StarsSlice.js", "JavaScript", 24, 0, 0, 0, 0, 0, 3, 27
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\redux\reducers\adjustComponentSlice.js", "JavaScript", 14, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\redux\reducers\otherBLESlice.js", "JavaScript", 46, 0, 0, 0, 0, 0, 3, 49
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\redux\store.js", "JavaScript", 21, 0, 0, 0, 0, 0, 1, 22
"c:\Users\Gintautas\Desktop\Bakis\frontend\src\utils.js", "JavaScript", 68, 0, 0, 0, 0, 0, 14, 82
"Total", "-", 1663, 297, 38, 28218, 20, 268, 267, 30771
